,Role,Company,Source,Location,Description
10,"Senior Software Engineer, Android, Looker, Google Cloud",Google,via Google Careers,"Hyderabad, Telangana","Google Cloud's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google Cloud's needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. You will anticipate our customer needs and be empowered to act like an owner, take action and innovate. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.

Google Cloud provides organizations with... leading infrastructure, platform capabilities and industry solutions. We deliver enterprise-grade cloud offerings that leverage Google’s cutting-edge technology to help companies operate more efficiently and adapt to changing needs, giving customers a foundation for the future. Customers in more than 150 countries turn to Google Cloud as their trusted partner to solve their most critical business problems. Looker for Google Cloud Platform allows anyone in your business to quickly analyze and find insights in your datasets. Looker makes it easy to build a data exploration platform that makes your data accessible in a meaningful, intuitive way for your entire organization.

Looker is a unified platform that powers data experiences and delivers actionable business insights to employees at the point of decision. Looker integrates data into the daily workflows of users to allow organizations to extract value from data at web-scale  leading infrastructure, platform capabilities and industry solutions. We deliver enterprise-grade cloud offerings that leverage Google’s cutting-edge technology to help companies operate more efficiently and adapt to changing needs, giving customers a foundation for the future. Customers in more than 150 countries turn to Google Cloud as their trusted partner to solve their most critical business problems. Looker for Google Cloud Platform allows anyone in your business to quickly analyze and find insights in your datasets. Looker makes it easy to build a data exploration platform that makes your data accessible in a meaningful, intuitive way for your entire organization.

Looker is a unified platform that powers data experiences and delivers actionable business insights to employees at the point of decision. Looker integrates data into the daily workflows of users to allow organizations to extract value from data at web-scale"
11,Work From Home - Android Developer,Chetu India,via WorkIndia.in,Delhi,"Responsible For Building, Coding And Designing Android Apps, Fixing Bugs, Create User Friendly Application. Having Knowledge About Kotlin

Salary: Rs. 22000 - Rs. 42000

Qualification: Graduate

Location: Sector 63 - Noida

Work Hours: 2:30 pm - 11:30pm | Monday to Saturday

Job Category: Programmer

Thoda English

More Than 2 Years Experience Compulsory. | Skills Needed : Android "
12,Android Developer,Tech Active Solutions India (P) Limited,via Shine.com,"Bengaluru, Karnataka (+1 other)","We are looking for an experienced Android Developer (0.6- 2yr) who possesses a passion for pushing mobile technologies to the limits. This Android app developer will work with our team of talented engineers to design and build the next generation of our mobile applications.

Responsibilities :

Designing and developing advanced applications for the Android platform.

Unit- testing code for robustness, including edge cases, usability, and general reliability.

Bug fixing and improving application performance.

Design and build advanced applications for the Android platform.

Collaborate with cross- functional teams to define, design, and ship new features.

Work with outside data sources and APIs

Unit- test code for robustness, including edge cases, usability, and general reliability.

Work on bug fixing and improving application performance.

Continuously discover, evaluate, and implement new technologies to maximize development efficiency.

Requirements :

Proven software... development experience and Android skills development.

Proven working experience in Android app development.

Have published at least one original Android app.

Experience with Android SDK.

Experience working with remote data via REST and JSON.

Experience with third- party libraries and APIs

Solid understanding of the full mobile development life cycle.

Subject Name: Android Developer - BANGALORE Want us build your next mobile app  development experience and Android skills development.

Proven working experience in Android app development.

Have published at least one original Android app.

Experience with Android SDK.

Experience working with remote data via REST and JSON.

Experience with third- party libraries and APIs

Solid understanding of the full mobile development life cycle.

Subject Name: Android Developer - BANGALORE Want us build your next mobile app"
13,Mobile App Developer(Android),Siemens Technology India,via LinkedIn,"Bengaluru, Karnataka","Role: Mobile App Developer

Electrical Energy keeps the world moving. No matter where the power comes from or where it needs to go we make sure it makes its way.

Can you help us shape the future? We’re looking for dedicated people with the skills and vision to build a better tomorrow. Join our Smart Grids and Infrastructure team as a Mobile App Developer and help us create the technology that will transform entire industries, cities and even countries.

What will the future look like? What can we look forward to? We don´t know for sure. That´s why we need true pioneers who, while exploring the world of research and development, trigger innovative projects and come up with unusual paths towards a solution – our drive to make the “impossible” possible has no limits! This is your chance: drive global change with us.

Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based... on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our team and enjoy the freedom to think in completely new categories.

What part will you play!
• Implements innovative Products and Solution Development processes and tools by utilizing his/he expertise in the field of mobile application development, preferably in the area of Energy/Industrial automation domain
• Ensures adherence to defined guidelines, processes and procedures, for the team assigned.
• Design & develop Android Mobile applications

Use Your Skills To Move The World Forward
• We need a graduate - BE/B.Tech/MCA/MSc (Computer Science or equivalent) with 4 to 7 years of experience in mobile application development, preferably in the area of Energy / Industrial automation domain.
• Advanced C#, Xamarin Android (not Xamarin forms), experience in Android UI development (Must Have)
• Exposure on Native Android, C# Async programming, Tools experience and Visual studio, NUnit, Git

We’ve got quite a lot to offer. How about you?

This role is based in Bangalore. You’ll also get to visit other locations in India and beyond, so you’ll need to go where this journey takes you. In return, you’ll get the chance to work with teams impacting entire cities, countries – and the shape of things to come.

We’re Siemens. A collection of over 379,000 minds building the future, one day at a time in over 200 countries. We're dedicated to equality, and we encourage applications that reflect the diversity of the communities we work in. All employment decisions at Siemens are based on qualifications, merit and business need. Bring your curiosity and creativity and help us craft tomorrow.

Find out more about Siemens careers at: www.siemens.com/careers

Organization: Advanta

Company: Siemens Technology and Services Private Limited

Experience

Level: Experienced Professional

Job Type

: Full-time  on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our team and enjoy the freedom to think in completely new categories.

What part will you play!
• Implements innovative Products and Solution Development processes and tools by utilizing his/he expertise in the field of mobile application development, preferably in the area of Energy/Industrial automation domain
• Ensures adherence to defined guidelines, processes and procedures, for the team assigned.
• Design & develop Android Mobile applications

Use Your Skills To Move The World Forward
• We need a graduate - BE/B.Tech/MCA/MSc (Computer Science or equivalent) with 4 to 7 years of experience in mobile application development, preferably in the area of Energy / Industrial automation domain.
• Advanced C#, Xamarin Android (not Xamarin forms), experience in Android UI development (Must Have)
• Exposure on Native Android, C# Async programming, Tools experience and Visual studio, NUnit, Git

We’ve got quite a lot to offer. How about you?

This role is based in Bangalore. You’ll also get to visit other locations in India and beyond, so you’ll need to go where this journey takes you. In return, you’ll get the chance to work with teams impacting entire cities, countries – and the shape of things to come.

We’re Siemens. A collection of over 379,000 minds building the future, one day at a time in over 200 countries. We're dedicated to equality, and we encourage applications that reflect the diversity of the communities we work in. All employment decisions at Siemens are based on qualifications, merit and business need. Bring your curiosity and creativity and help us craft tomorrow.

Find out more about Siemens careers at: www.siemens.com/careers

Organization: Advanta

Company: Siemens Technology and Services Private Limited

Experience

Level: Experienced Professional

Job Type

: Full-time"
14,Experienced Mobile App Engineer (React Native/iOS/Android),Orange Health,via AngelList,Anywhere,"Orange Health

Orange Health is building an on-demand healthcare service for urban consumers, that is backed by high-quality investors like Y Combinator, and other global investors.

The founders are Dhruv Gupta (serial tech entrepreneur with 2 successful exits) & Tarun Bhambra (experienced corporate leader and venture capital investor), have 15 years of combined healthcare experience and have built a profitable business serving 100m+ users.

We have a team of experienced operations and product leaders, engineers, and medical professionals, who have built and scaled innovative platforms.

The team hails from educational institutions like IIT-Kharagpur, University of Michigan, IIT-Roorkee, ISB, IIIT, etc, and with experience in companies like McKinsey, ITC, PwC, Matrix Partners, Wockhardt, etc

Our engineering team consists of experienced engineers and team leads who have built and scaled innovative platforms, at startups like Bounce, Practo, Blue Jeans and others.

With our deep... understanding of primary healthcare and its opportunities, we are building Orange Health to become the infrastructure of remote healthcare in India. And we're looking for experienced mobile app developers to join us as we build the future of remote healthcare treatment in India.

About the role
• Help build the best mobile apps by taking into account scalability, performance, robust CI-CD, and help define the best practices.
• Work closely with the founders, engineering leaders, and designers and collaborating to create innovative products that will help define the future of healthcare.
• Not only do you get to build, you also get to open source libraries and write about your contributions.
• Be a part of the product that doctors and patients will use and do take decisions that is right for them.

Must have
• 2+ years of professional experience developing production-ready consumer apps with React Native and/or iOS/Droid.
• While you'll be part of a team, working in the current remote environment, requires an ability to take ownership over your work, in terms of timelines and development quality.
• A strong understanding of best practices in mobile app development.
• A passion for building impactful products.

Nice to have
• Experience with mobile app dev-ops.
• Ideally have worked in fast-growing startups, so you understand the need and ability to be able to move fast.
• If you're a full-stack engineer, we'd love that.

If you're interested, send us a note at hello(at)orangehealth.in

Orange Health focuses on Diagnostics and Telemedicine. Their company has offices in Bengaluru. They have a mid-size team that's between 51-200 employees.

You can view their website at https://www.orangehealth.in  understanding of primary healthcare and its opportunities, we are building Orange Health to become the infrastructure of remote healthcare in India. And we're looking for experienced mobile app developers to join us as we build the future of remote healthcare treatment in India.

About the role
• Help build the best mobile apps by taking into account scalability, performance, robust CI-CD, and help define the best practices.
• Work closely with the founders, engineering leaders, and designers and collaborating to create innovative products that will help define the future of healthcare.
• Not only do you get to build, you also get to open source libraries and write about your contributions.
• Be a part of the product that doctors and patients will use and do take decisions that is right for them.

Must have
• 2+ years of professional experience developing production-ready consumer apps with React Native and/or iOS/Droid.
• While you'll be part of a team, working in the current remote environment, requires an ability to take ownership over your work, in terms of timelines and development quality.
• A strong understanding of best practices in mobile app development.
• A passion for building impactful products.

Nice to have
• Experience with mobile app dev-ops.
• Ideally have worked in fast-growing startups, so you understand the need and ability to be able to move fast.
• If you're a full-stack engineer, we'd love that.

If you're interested, send us a note at hello(at)orangehealth.in

Orange Health focuses on Diagnostics and Telemedicine. Their company has offices in Bengaluru. They have a mid-size team that's between 51-200 employees.

You can view their website at https://www.orangehealth.in"
15,Android Developer (100% Remote),Mercury Z,via ZipRecruiter India,"Bengaluru, Karnataka","We are looking for an Android Developer who possesses a passion for pushing mobile technologies to the limits. This Android app developer will work with our team of talented engineers to design and build the next generation of our mobile applications. Android programming works closely with other app development and technical teams.
Responsibilities:
• Design and build advanced applications for the Android platform
• Collaborate with cross-functional teams to define, design, and ship new features
• Work with outside data sources and APIs
• Unit-test code for robustness, including edge cases, usability, and general reliability
• Work on bug fixing and improving application performance
• Continuously discover, evaluate, and implement new technologies to maximize development efficiency

Why we think this job is great:
• It's a remote full-time, 100% remote position where you'll work from home with tech provided by the company
• You'll have clear goals and the training resources you need... to deliver. How you execute and deliver is up to you
• Medical, dental, vision, and PTO available

Android Developer Requirements:
• 5+ years of experience in Android development.
• BS/MS degree in Computer Science, Engineering or a related subject
• Proven software development experience and Android skills development
• Proven working experience in Android app development and
• Have published at least one original Android app
• Experience with Android SDK
• Experience working with remote data via REST and JSON
• Experience with third-party libraries and APIs
• Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies
• Solid understanding of the full mobile development life cycle.

About Us

Bold Business is a remote-first, global outsourced-solutions company with over $7B in service solutions over the past 25 years. Our international team helps the world's leading companies transform their ideas into bold impacts. From Fortune 500 organizations looking to reduce operational costs by 40%-60% to fast-growth startups looking to scale, we work behind the scenes and empower companies to do more for less.

If you like to move fast and have a bias for action, you'll fit right into our fast-paced, results-based environment. We're a 100% remote/virtual team environment where you can work from wherever you are  to deliver. How you execute and deliver is up to you
• Medical, dental, vision, and PTO available

Android Developer Requirements:
• 5+ years of experience in Android development.
• BS/MS degree in Computer Science, Engineering or a related subject
• Proven software development experience and Android skills development
• Proven working experience in Android app development and
• Have published at least one original Android app
• Experience with Android SDK
• Experience working with remote data via REST and JSON
• Experience with third-party libraries and APIs
• Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies
• Solid understanding of the full mobile development life cycle.

About Us

Bold Business is a remote-first, global outsourced-solutions company with over $7B in service solutions over the past 25 years. Our international team helps the world's leading companies transform their ideas into bold impacts. From Fortune 500 organizations looking to reduce operational costs by 40%-60% to fast-growth startups looking to scale, we work behind the scenes and empower companies to do more for less.

If you like to move fast and have a bias for action, you'll fit right into our fast-paced, results-based environment. We're a 100% remote/virtual team environment where you can work from wherever you are"
16,Senior Software Engineer (Android),Microsoft,via Microsoft Careers,"Noida, Uttar Pradesh","Wake up every morning and KNOW you are making a difference. Flipgrid’s mission is to empower everyone on the planet to share their voice and respect the diverse voices of others.

The Flipgrid team has focused on student voices with our short-form video application and a rapidly growing, passionate community of educators that empowers over 100 million educators, learners, families, and organizations across 180 countries. Check out #FlipgridForAll on Twitter!

We are looking for creative problem solvers and diverse thinkers—people who care about adding to our team culture and engaging the community we serve. We believe that why we do things is as important as what we do. You should be purposeful, quality-driven, curious, determined, collaborative and fun.

As an Android Engineer, you will be an integral part of our tight-knit group of dedicated problem solvers. The ideal candidate should be able to quickly make an impact on the Android Team and work with the larger Flipgrid... organization to deliver an innovative and meaningful learning experience to millions of students and educators  organization to deliver an innovative and meaningful learning experience to millions of students and educators"
17,Software Technologist I - Android Developer,Philips,via Philips Careers,"Bengaluru, Karnataka (+1 other)","Job Title
Software Technologist I - Android Developer

Job Description
• 4+ years of experience on Android Java-based mobile applications and systems development
• Strong command on Android Java. Exposure towards Android SDK
• Strong knowledge of the various packages on the Android App development stack layouts, intents, widgets, content providers, touch handling, drawing, location services, media interfaces, network, storage, security/cryptography, sqlite, etc.
• Knowledge of web services and serialization techniques like REST, SOAP, XML, JSON & framing
• Strong penchant for Object Oriented Design and CS fundamentals
• Experience of working with version control, bug tracking, continuous integration and other productivity enhancement software like TFS, Bugzilla, Jira etc.
• Prior experience in working in Agile software methodologies
• Taking responsibility and ownership in the team's work, team player and good communication skills
• B.E/B.Tech/M.Tech/MCA or equivalent... qualification

Contact

If you forgot your password, you can click the Forgot Password button on the Sign In screen to reset it  qualification

Contact

If you forgot your password, you can click the Forgot Password button on the Sign In screen to reset it"
18,Android App Development Jobs in Across India,Lybrate,via Freshersworld.com,Anywhere,"About the work from home job/internship

Selected intern's day-to-day responsibilities include:

1. Developing applications on the Android platform for various devices

2. Building new and innovative product features

3. Discovering, evaluating, and implementing new technologies to maximize development efficiency

4. Fixing bugs and improving application performance

Note: This internship comes with a PPO Skill(s) required
• Java
• Algorithms
• Data Structures
• JSON
• Android

Learn these skills on Internshala Trainings

Learn Java

Learn Algorithms

Learn Data Structures

Learn Android

Who can apply

Only those candidates can apply who:

1. are available for the work from home job/internship

2. can start the work from home job/internship between 18th May'21 and 22nd Jun'21

3. are available for duration of 6 months

4. have relevant skills and interests

Number of openings-1Qualifications-Diploma, B.Com, M.Com, BCA, BE/B.Tech, BSc, MCA, ME/M.Tech, MSc, PG Diploma, 12th Pass (HSE) "
19,Android Developer,Unacademy,via BigShyft,"Bengaluru, Karnataka (+1 other)","What makes you a great fit :

Minimum product development experience of 1+ years in web/mobile startups with expertise in designing and implementing high-performance mobile applications.

Thorough knowledge of Android APIs and platform capabilities (location-based capabilities within apps)

Working knowledge of the mobile landscape, architectures, trends, and emerging technologies

Experience with Android Studio, Gradle and Continuous Integration platforms like Jenkins

Experience with Compilers, Languages, Operating Systems

Open Source Contributors, and people who are active on open source communities like Stack Exchange.

Have published one or more apps in the Play Store

Well-versed in Java, JavaScript, XML, and JSON

Complete knowledge of app testing, releasing and handling support tickets

Handling push notifications from servers to the Android app "
20,"Senior Software Engineer, Android, Looker, Google Cloud",Google,via Google Careers,"Hyderabad, Telangana","Google Cloud's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google Cloud's needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. You will anticipate our customer needs and be empowered to act like an owner, take action and innovate. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.

Google Cloud provides organizations with... leading infrastructure, platform capabilities and industry solutions. We deliver enterprise-grade cloud offerings that leverage Google’s cutting-edge technology to help companies operate more efficiently and adapt to changing needs, giving customers a foundation for the future. Customers in more than 150 countries turn to Google Cloud as their trusted partner to solve their most critical business problems. Looker for Google Cloud Platform allows anyone in your business to quickly analyze and find insights in your datasets. Looker makes it easy to build a data exploration platform that makes your data accessible in a meaningful, intuitive way for your entire organization.

Looker is a unified platform that powers data experiences and delivers actionable business insights to employees at the point of decision. Looker integrates data into the daily workflows of users to allow organizations to extract value from data at web-scale  leading infrastructure, platform capabilities and industry solutions. We deliver enterprise-grade cloud offerings that leverage Google’s cutting-edge technology to help companies operate more efficiently and adapt to changing needs, giving customers a foundation for the future. Customers in more than 150 countries turn to Google Cloud as their trusted partner to solve their most critical business problems. Looker for Google Cloud Platform allows anyone in your business to quickly analyze and find insights in your datasets. Looker makes it easy to build a data exploration platform that makes your data accessible in a meaningful, intuitive way for your entire organization.

Looker is a unified platform that powers data experiences and delivers actionable business insights to employees at the point of decision. Looker integrates data into the daily workflows of users to allow organizations to extract value from data at web-scale"
21,Work From Home - Android Developer,Chetu India,via WorkIndia.in,Delhi,"Responsible For Building, Coding And Designing Android Apps, Fixing Bugs, Create User Friendly Application. Having Knowledge About Kotlin

Salary: Rs. 22000 - Rs. 42000

Qualification: Graduate

Location: Sector 63 - Noida

Work Hours: 2:30 pm - 11:30pm | Monday to Saturday

Job Category: Programmer

Thoda English

More Than 2 Years Experience Compulsory. | Skills Needed : Android "
22,Android Developer,Tech Active Solutions India (P) Limited,via Shine.com,"Bengaluru, Karnataka (+1 other)","We are looking for an experienced Android Developer (0.6- 2yr) who possesses a passion for pushing mobile technologies to the limits. This Android app developer will work with our team of talented engineers to design and build the next generation of our mobile applications.

Responsibilities :

Designing and developing advanced applications for the Android platform.

Unit- testing code for robustness, including edge cases, usability, and general reliability.

Bug fixing and improving application performance.

Design and build advanced applications for the Android platform.

Collaborate with cross- functional teams to define, design, and ship new features.

Work with outside data sources and APIs

Unit- test code for robustness, including edge cases, usability, and general reliability.

Work on bug fixing and improving application performance.

Continuously discover, evaluate, and implement new technologies to maximize development efficiency.

Requirements :

Proven software... development experience and Android skills development.

Proven working experience in Android app development.

Have published at least one original Android app.

Experience with Android SDK.

Experience working with remote data via REST and JSON.

Experience with third- party libraries and APIs

Solid understanding of the full mobile development life cycle.

Subject Name: Android Developer - BANGALORE Want us build your next mobile app  development experience and Android skills development.

Proven working experience in Android app development.

Have published at least one original Android app.

Experience with Android SDK.

Experience working with remote data via REST and JSON.

Experience with third- party libraries and APIs

Solid understanding of the full mobile development life cycle.

Subject Name: Android Developer - BANGALORE Want us build your next mobile app"
23,Mobile App Developer(Android),Siemens Technology India,via LinkedIn,"Bengaluru, Karnataka","Role: Mobile App Developer

Electrical Energy keeps the world moving. No matter where the power comes from or where it needs to go we make sure it makes its way.

Can you help us shape the future? We’re looking for dedicated people with the skills and vision to build a better tomorrow. Join our Smart Grids and Infrastructure team as a Mobile App Developer and help us create the technology that will transform entire industries, cities and even countries.

What will the future look like? What can we look forward to? We don´t know for sure. That´s why we need true pioneers who, while exploring the world of research and development, trigger innovative projects and come up with unusual paths towards a solution – our drive to make the “impossible” possible has no limits! This is your chance: drive global change with us.

Before our software developers write even a single line of code, they have to understand what drives our customers. What is the environment? What is the user story based... on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our team and enjoy the freedom to think in completely new categories.

What part will you play!
• Implements innovative Products and Solution Development processes and tools by utilizing his/he expertise in the field of mobile application development, preferably in the area of Energy/Industrial automation domain
• Ensures adherence to defined guidelines, processes and procedures, for the team assigned.
• Design & develop Android Mobile applications

Use Your Skills To Move The World Forward
• We need a graduate - BE/B.Tech/MCA/MSc (Computer Science or equivalent) with 4 to 7 years of experience in mobile application development, preferably in the area of Energy / Industrial automation domain.
• Advanced C#, Xamarin Android (not Xamarin forms), experience in Android UI development (Must Have)
• Exposure on Native Android, C# Async programming, Tools experience and Visual studio, NUnit, Git

We’ve got quite a lot to offer. How about you?

This role is based in Bangalore. You’ll also get to visit other locations in India and beyond, so you’ll need to go where this journey takes you. In return, you’ll get the chance to work with teams impacting entire cities, countries – and the shape of things to come.

We’re Siemens. A collection of over 379,000 minds building the future, one day at a time in over 200 countries. We're dedicated to equality, and we encourage applications that reflect the diversity of the communities we work in. All employment decisions at Siemens are based on qualifications, merit and business need. Bring your curiosity and creativity and help us craft tomorrow.

Find out more about Siemens careers at: www.siemens.com/careers

Organization: Advanta

Company: Siemens Technology and Services Private Limited

Experience

Level: Experienced Professional

Job Type

: Full-time  on? Implementation means – trying, testing, and improving outcomes until a final solution emerges. Knowledge means exchange – discussions with colleagues from all over the world. Join our team and enjoy the freedom to think in completely new categories.

What part will you play!
• Implements innovative Products and Solution Development processes and tools by utilizing his/he expertise in the field of mobile application development, preferably in the area of Energy/Industrial automation domain
• Ensures adherence to defined guidelines, processes and procedures, for the team assigned.
• Design & develop Android Mobile applications

Use Your Skills To Move The World Forward
• We need a graduate - BE/B.Tech/MCA/MSc (Computer Science or equivalent) with 4 to 7 years of experience in mobile application development, preferably in the area of Energy / Industrial automation domain.
• Advanced C#, Xamarin Android (not Xamarin forms), experience in Android UI development (Must Have)
• Exposure on Native Android, C# Async programming, Tools experience and Visual studio, NUnit, Git

We’ve got quite a lot to offer. How about you?

This role is based in Bangalore. You’ll also get to visit other locations in India and beyond, so you’ll need to go where this journey takes you. In return, you’ll get the chance to work with teams impacting entire cities, countries – and the shape of things to come.

We’re Siemens. A collection of over 379,000 minds building the future, one day at a time in over 200 countries. We're dedicated to equality, and we encourage applications that reflect the diversity of the communities we work in. All employment decisions at Siemens are based on qualifications, merit and business need. Bring your curiosity and creativity and help us craft tomorrow.

Find out more about Siemens careers at: www.siemens.com/careers

Organization: Advanta

Company: Siemens Technology and Services Private Limited

Experience

Level: Experienced Professional

Job Type

: Full-time"
24,Experienced Mobile App Engineer (React Native/iOS/Android),Orange Health,via AngelList,Anywhere,"Orange Health

Orange Health is building an on-demand healthcare service for urban consumers, that is backed by high-quality investors like Y Combinator, and other global investors.

The founders are Dhruv Gupta (serial tech entrepreneur with 2 successful exits) & Tarun Bhambra (experienced corporate leader and venture capital investor), have 15 years of combined healthcare experience and have built a profitable business serving 100m+ users.

We have a team of experienced operations and product leaders, engineers, and medical professionals, who have built and scaled innovative platforms.

The team hails from educational institutions like IIT-Kharagpur, University of Michigan, IIT-Roorkee, ISB, IIIT, etc, and with experience in companies like McKinsey, ITC, PwC, Matrix Partners, Wockhardt, etc

Our engineering team consists of experienced engineers and team leads who have built and scaled innovative platforms, at startups like Bounce, Practo, Blue Jeans and others.

With our deep... understanding of primary healthcare and its opportunities, we are building Orange Health to become the infrastructure of remote healthcare in India. And we're looking for experienced mobile app developers to join us as we build the future of remote healthcare treatment in India.

About the role
• Help build the best mobile apps by taking into account scalability, performance, robust CI-CD, and help define the best practices.
• Work closely with the founders, engineering leaders, and designers and collaborating to create innovative products that will help define the future of healthcare.
• Not only do you get to build, you also get to open source libraries and write about your contributions.
• Be a part of the product that doctors and patients will use and do take decisions that is right for them.

Must have
• 2+ years of professional experience developing production-ready consumer apps with React Native and/or iOS/Droid.
• While you'll be part of a team, working in the current remote environment, requires an ability to take ownership over your work, in terms of timelines and development quality.
• A strong understanding of best practices in mobile app development.
• A passion for building impactful products.

Nice to have
• Experience with mobile app dev-ops.
• Ideally have worked in fast-growing startups, so you understand the need and ability to be able to move fast.
• If you're a full-stack engineer, we'd love that.

If you're interested, send us a note at hello(at)orangehealth.in

Orange Health focuses on Diagnostics and Telemedicine. Their company has offices in Bengaluru. They have a mid-size team that's between 51-200 employees.

You can view their website at https://www.orangehealth.in  understanding of primary healthcare and its opportunities, we are building Orange Health to become the infrastructure of remote healthcare in India. And we're looking for experienced mobile app developers to join us as we build the future of remote healthcare treatment in India.

About the role
• Help build the best mobile apps by taking into account scalability, performance, robust CI-CD, and help define the best practices.
• Work closely with the founders, engineering leaders, and designers and collaborating to create innovative products that will help define the future of healthcare.
• Not only do you get to build, you also get to open source libraries and write about your contributions.
• Be a part of the product that doctors and patients will use and do take decisions that is right for them.

Must have
• 2+ years of professional experience developing production-ready consumer apps with React Native and/or iOS/Droid.
• While you'll be part of a team, working in the current remote environment, requires an ability to take ownership over your work, in terms of timelines and development quality.
• A strong understanding of best practices in mobile app development.
• A passion for building impactful products.

Nice to have
• Experience with mobile app dev-ops.
• Ideally have worked in fast-growing startups, so you understand the need and ability to be able to move fast.
• If you're a full-stack engineer, we'd love that.

If you're interested, send us a note at hello(at)orangehealth.in

Orange Health focuses on Diagnostics and Telemedicine. Their company has offices in Bengaluru. They have a mid-size team that's between 51-200 employees.

You can view their website at https://www.orangehealth.in"
25,Android Developer (100% Remote),Mercury Z,via ZipRecruiter India,"Bengaluru, Karnataka","We are looking for an Android Developer who possesses a passion for pushing mobile technologies to the limits. This Android app developer will work with our team of talented engineers to design and build the next generation of our mobile applications. Android programming works closely with other app development and technical teams.
Responsibilities:
• Design and build advanced applications for the Android platform
• Collaborate with cross-functional teams to define, design, and ship new features
• Work with outside data sources and APIs
• Unit-test code for robustness, including edge cases, usability, and general reliability
• Work on bug fixing and improving application performance
• Continuously discover, evaluate, and implement new technologies to maximize development efficiency

Why we think this job is great:
• It's a remote full-time, 100% remote position where you'll work from home with tech provided by the company
• You'll have clear goals and the training resources you need... to deliver. How you execute and deliver is up to you
• Medical, dental, vision, and PTO available

Android Developer Requirements:
• 5+ years of experience in Android development.
• BS/MS degree in Computer Science, Engineering or a related subject
• Proven software development experience and Android skills development
• Proven working experience in Android app development and
• Have published at least one original Android app
• Experience with Android SDK
• Experience working with remote data via REST and JSON
• Experience with third-party libraries and APIs
• Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies
• Solid understanding of the full mobile development life cycle.

About Us

Bold Business is a remote-first, global outsourced-solutions company with over $7B in service solutions over the past 25 years. Our international team helps the world's leading companies transform their ideas into bold impacts. From Fortune 500 organizations looking to reduce operational costs by 40%-60% to fast-growth startups looking to scale, we work behind the scenes and empower companies to do more for less.

If you like to move fast and have a bias for action, you'll fit right into our fast-paced, results-based environment. We're a 100% remote/virtual team environment where you can work from wherever you are  to deliver. How you execute and deliver is up to you
• Medical, dental, vision, and PTO available

Android Developer Requirements:
• 5+ years of experience in Android development.
• BS/MS degree in Computer Science, Engineering or a related subject
• Proven software development experience and Android skills development
• Proven working experience in Android app development and
• Have published at least one original Android app
• Experience with Android SDK
• Experience working with remote data via REST and JSON
• Experience with third-party libraries and APIs
• Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies
• Solid understanding of the full mobile development life cycle.

About Us

Bold Business is a remote-first, global outsourced-solutions company with over $7B in service solutions over the past 25 years. Our international team helps the world's leading companies transform their ideas into bold impacts. From Fortune 500 organizations looking to reduce operational costs by 40%-60% to fast-growth startups looking to scale, we work behind the scenes and empower companies to do more for less.

If you like to move fast and have a bias for action, you'll fit right into our fast-paced, results-based environment. We're a 100% remote/virtual team environment where you can work from wherever you are"
26,Senior Software Engineer (Android),Microsoft,via Microsoft Careers,"Noida, Uttar Pradesh","Wake up every morning and KNOW you are making a difference. Flipgrid’s mission is to empower everyone on the planet to share their voice and respect the diverse voices of others.

The Flipgrid team has focused on student voices with our short-form video application and a rapidly growing, passionate community of educators that empowers over 100 million educators, learners, families, and organizations across 180 countries. Check out #FlipgridForAll on Twitter!

We are looking for creative problem solvers and diverse thinkers—people who care about adding to our team culture and engaging the community we serve. We believe that why we do things is as important as what we do. You should be purposeful, quality-driven, curious, determined, collaborative and fun.

As an Android Engineer, you will be an integral part of our tight-knit group of dedicated problem solvers. The ideal candidate should be able to quickly make an impact on the Android Team and work with the larger Flipgrid... organization to deliver an innovative and meaningful learning experience to millions of students and educators  organization to deliver an innovative and meaningful learning experience to millions of students and educators"
